Epoch,Type,R@1,R@5,R@10,MedR,MRR
1,Text->Image,0.019622361287474632,0.07589781284332275,0.124398373067379,126.0,0.05574673041701317
1,Text->LongText,0.022584227845072746,0.09181784838438034,0.14772306382656097,80.0,0.06889135390520096
1,Image->Text,0.04109589010477066,0.10958904027938843,0.16549426317214966,97.0,0.08503033965826035
1,Image->LongText,0.024805627763271332,0.07700851559638977,0.1206960380077362,119.0,0.05999061465263367
2,Text->Image,0.07811921834945679,0.23917067050933838,0.3395038843154907,24.0,0.1651957929134369
2,Text->LongText,0.07404664903879166,0.23398740589618683,0.3383931815624237,22.0,0.1626574993133545
2,Image->Text,0.14291003346443176,0.336542010307312,0.4409478008747101,13.0,0.24070344865322113
2,Image->LongText,0.09700111299753189,0.2536097764968872,0.35283228754997253,22.0,0.18118569254875183
3,Text->Image,0.17475008964538574,0.41243982315063477,0.5279526114463806,8.0,0.2926439046859741
3,Text->LongText,0.13032209873199463,0.3450573980808258,0.4787115752696991,11.0,0.24102792143821716
3,Image->Text,0.2721214294433594,0.526841938495636,0.6456868052482605,4.0,0.3926640748977661
3,Image->LongText,0.16623473167419434,0.39911144971847534,0.5212883949279785,8.0,0.27884384989738464
4,Text->Image,0.28619030117988586,0.5572010278701782,0.6815993785858154,3.0,0.41427233815193176
4,Text->LongText,0.25694188475608826,0.5457237958908081,0.6867826581001282,3.0,0.395255446434021
4,Image->Text,0.36616069078445435,0.6453165411949158,0.7626804709434509,2.0,0.4962403178215027
4,Image->LongText,0.2621251344680786,0.5449833273887634,0.6753054261207581,4.0,0.3963627517223358
5,Text->Image,0.3761569857597351,0.65864497423172,0.7804516553878784,1.0,0.5085105895996094
5,Text->LongText,0.38689374923706055,0.7075157165527344,0.8245094418525696,1.0,0.5306991934776306
5,Image->Text,0.46057015657424927,0.7475008964538574,0.8515364527702332,1.0,0.5903797149658203
5,Image->LongText,0.3580155372619629,0.663457989692688,0.7830433249473572,2.0,0.498841255903244
6,Text->Image,0.4324324429035187,0.7263976335525513,0.8222880363464355,1.0,0.5654494166374207
6,Text->LongText,0.4483524560928345,0.7619400024414062,0.8667160272598267,1.0,0.5889361500740051
6,Image->Text,0.5264716744422913,0.8111810684204102,0.894113302230835,0.0,0.6517055034637451
6,Image->LongText,0.43761569261550903,0.7412069439888,0.837467610836029,1.0,0.5733400583267212
7,Text->Image,0.4664939045906067,0.7582377195358276,0.8530173897743225,1.0,0.5960221290588379
7,Text->LongText,0.559792697429657,0.8393187522888184,0.9248426556587219,0.0,0.6865295171737671
7,Image->Text,0.5586819648742676,0.830803394317627,0.9089226126670837,0.0,0.680985689163208
7,Image->LongText,0.49537208676338196,0.7823028564453125,0.8770825862884521,1.0,0.6235400438308716
8,Text->Image,0.4835246205329895,0.7678637504577637,0.8689374327659607,1.0,0.6115637421607971
8,Text->LongText,0.5920029878616333,0.8641244173049927,0.9378008246421814,0.0,0.7121656537055969
8,Image->Text,0.5808959603309631,0.8467234373092651,0.9211403131484985,0.0,0.6988457441329956
8,Image->LongText,0.5064790844917297,0.8041465878486633,0.8907811641693115,0.0,0.6384024024009705
9,Text->Image,0.5001851320266724,0.7800814509391785,0.8756016492843628,0.0,0.6260166764259338
9,Text->LongText,0.6182895302772522,0.8778230547904968,0.9481673240661621,0.0,0.7344458103179932
9,Image->Text,0.5990374088287354,0.8604220747947693,0.9278045296669006,0.0,0.7129914164543152
9,Image->LongText,0.5305442214012146,0.8204368948936462,0.9004072546958923,0.0,0.6578431725502014
10,Text->Image,0.5064790844917297,0.7900777459144592,0.8811551332473755,0.0,0.6327260136604309
10,Text->LongText,0.6360607147216797,0.8922621011734009,0.9559422731399536,0.0,0.7498304843902588
10,Image->Text,0.6086634397506714,0.8648648858070374,0.9337282776832581,0.0,0.720291018486023
10,Image->LongText,0.5427619218826294,0.8315438628196716,0.9074416756629944,0.0,0.6695086359977722
